u_g,g_r,r_i,i_z
1.061228999999997313e+00,3.704719999999994684e-01,1.420290000000008490e-01,2.925300000000063960e-02
1.107822000000002305e+00,5.235749999999974591e-01,1.225440000000013185e-01,9.991000000000127557e-02
1.337713999999998293e+00,5.663700000000027046e-01,2.487259999999977822e-01,1.449789999999993029e-01
1.549803000000000708e+00,5.967099999999980753e-01,1.929000000000016257e-01,4.082299999999605689e-02
2.500709000000000515e+00,1.428809999999998581e+00,8.269079999999995323e-01,4.754500000000003723e-01
1.405073000000001571e+00,6.026020000000009702e-01,2.355190000000000339e-01,1.430439999999997269e-01
1.118512999999996538e+00,3.938890000000014879e-01,2.357370000000003074e-01,-7.070000000002352181e-04
2.278890999999998002e+00,9.787400000000019418e-01,3.131639999999968893e-01,1.704380000000007556e-01
1.217591999999999786e+00,4.846770000000013567e-01,2.020049999999997681e-01,5.858099999999666352e-02
2.560016999999998433e+00,1.152624000000002980e+00,4.643060000000005516e-01,2.623689999999996303e-01
8.551649999999995089e-01,3.832800000000027296e-01,9.629400000000032378e-02,7.179999999998187832e-03
1.474094999999994826e+00,5.693280000000022767e-01,2.241270000000028517e-01,1.298309999999993636e-01
1.105890000000009366e-01,3.180379999999978224e-01,1.138750000000001705e-01,-3.158799999999928332e-02
1.287254999999998262e+00,5.000070000000000903e-01,1.712270000000017944e-01,5.935999999999808097e-02
9.087809999999976185e-01,4.512830000000001007e-01,1.934280000000008215e-01,7.784600000000096998e-02
1.569694999999997620e+00,5.028140000000025367e-01,1.568459999999980425e-01,3.454100000000082105e-02
3.687120000000021491e-01,3.101940000000027453e-01,-1.509210000000038576e-01,1.675490000000010582e-01
1.106193999999998567e+00,4.011859999999991544e-01,1.794200000000003570e-01,4.391000000001810122e-03
8.736560000000004322e-01,3.874339999999989459e-01,1.688270000000002824e-01,-2.051600000000064483e-02
1.006449999999965428e-01,1.694620000000028881e-01,8.085799999999920828e-02,1.646099999999997010e-01
8.861370000000015068e-01,2.488020000000012999e-01,3.333699999999950592e-02,9.552699999999703095e-02
2.754327999999997445e+00,1.314764000000000266e+00,5.753869999999992046e-01,3.204830000000011836e-01
7.939450000000007890e-01,3.031469999999991671e-01,1.031449999999978218e-01,-1.354599999999805959e-02
9.236979999999981317e-01,3.080770000000008224e-01,1.153259999999995955e-01,7.505200000000300520e-02
1.078082999999999458e+00,3.377589999999983661e-01,1.363939999999992381e-01,-6.701999999997099167e-03
9.813330000000028974e-01,2.305770000000002540e-01,1.049070000000007497e-01,1.141099999999894976e-02
1.283830999999999278e+00,4.434360000000001634e-01,1.384200000000017639e-01,2.958599999999833585e-02
1.522673000000001053e+00,5.846520000000019479e-01,2.326319999999952870e-01,1.817240000000026612e-01
1.433016999999999541e+00,5.649650000000008276e-01,1.602069999999962135e-01,9.073100000000167142e-02
8.719940000000008240e-01,4.540709999999990032e-01,1.837330000000001462e-01,7.683499999999909846e-02
1.878343999999998459e+00,7.071130000000032112e-01,2.730369999999986419e-01,1.332299999999975171e-01
9.678540000000026566e-01,3.107999999999968566e-01,7.595300000000193563e-02,6.713999999999842316e-02
1.330462999999998175e+00,4.859629999999999228e-01,1.339909999999999712e-01,2.716600000000113369e-02
1.501432000000001210e+00,5.250609999999973354e-01,1.639549999999978525e-01,6.709300000000339992e-02
1.815817000000002679e+00,7.216799999999992110e-01,1.917280000000012308e-01,1.332459999999997535e-01
2.144269999999998788e+00,8.831850000000009970e-01,3.352159999999990703e-01,1.013030000000014752e-01
2.291138000000000119e+00,1.181826000000000931e+00,4.722100000000004627e-01,2.701789999999988368e-01
1.149551000000002432e+00,5.447769999999998447e-01,1.509629999999972938e-01,6.698600000000354271e-02
8.519690000000004204e-01,2.363910000000011280e-01,1.221770000000006462e-01,-8.564499999999952706e-02
9.586770000000015557e-01,2.471549999999993474e-01,9.521399999999857755e-02,2.563500000000118462e-02
9.820460000000004186e-01,4.019399999999997419e-01,8.671700000000015507e-02,2.588499999999882561e-02
1.634425999999997714e+00,6.247410000000002128e-01,2.210920000000022867e-01,1.041559999999996933e-01
1.020075999999999539e+00,3.478050000000010300e-01,1.303219999999996048e-01,1.781599999999983197e-02
9.210910000000005482e-01,2.173550000000012972e-01,1.335029999999974848e-01,2.067200000000113391e-02
1.010581999999999425e+00,3.459430000000018879e-01,1.026540000000011332e-01,2.247399999999899478e-02
1.353094999999999715e+00,7.144809999999992556e-01,1.162700000000000955e-01,1.489890000000002601e-01
1.248145000000002725e+00,4.177769999999974004e-01,1.472080000000026700e-01,1.289599999999957447e-02
8.734000000000001762e-01,3.094419999999971083e-01,1.276839999999985764e-01,1.531400000000360251e-02
1.317530000000001422e+00,4.578590000000026805e-01,1.360509999999948150e-01,6.836500000000356181e-02
1.871573999999998961e+00,7.789140000000003283e-01,3.024979999999999336e-01,1.384979999999984557e-01
1.193415000000001669e+00,-1.615870000000008133e-01,-1.578249999999989939e-01,-7.647300000000001319e-02
1.001840000000004949e+00,4.089009999999966283e-01,1.036300000000025534e-01,2.711299999999994270e-02
1.039308999999999372e+00,3.941459999999992192e-01,1.120339999999977465e-01,1.967000000000140858e-02
1.274759999999979243e-01,1.791780000000002815e-01,4.010730000000037876e-01,6.796699999999589181e-02
8.216289999999979443e-01,3.238430000000036557e-01,1.180989999999972895e-01,5.553300000000049863e-02
1.713248000000000104e+00,6.691859999999998365e-01,2.050649999999993867e-01,5.793100000000173111e-02
1.321467000000001946e+00,5.268629999999987490e-01,2.255019999999987590e-01,1.019230000000028724e-01
2.530140000000002942e-01,6.506000000001677108e-03,9.009000000000000341e-02,1.146010000000003970e-01
1.162549999999999528e+00,4.469200000000022044e-01,1.204679999999989093e-01,5.955700000000163641e-02
1.699222000000002453e+00,8.045619999999971128e-01,2.658900000000024022e-01,1.194439999999978852e-01
